series,gallery_number,set_code,set_number,name_de,name_en,image_url_de,image_url_en
8,57,MEG,117,Wald der Vitalität,Forest of Vitality,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_57-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_57-2x.png
8,58,JTG,148,Hops Wahlband,Hop’s Choice Band,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_58-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_58-2x.png
8,59,MEG,118,Eisendefensive,Iron Defender,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_59-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_59-2x.png
8,60,JTG,150,Fermanca City,Levincia,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_60-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_60-2x.png
8,61,MEG,119,Lillys Entschlossenheit,Lillie’s Determination,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_61-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_61-2x.png
8,62,JTG,151,Lillys Perle,Lillie’s Pearl,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_62-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_62-2x.png
8,63,PRE,116,Maximale Angel,Max Rod,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_63-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_63-2x.png
8,64,MEG,121,Mega-Signal,Mega Signal,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_64-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_64-2x.png
8,65,MEG,122,Geheimnisvoller Garten,Mystery Garden,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_65-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_65-2x.png
8,66,JTG,153,Ns AP-Plus,N’s PP Up,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/de-de/OP_Prize_SE8_DE_66-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series8/en-us/OP_Prize_SE8_EN_66-2x.png
