id_expansion,expansion_code,name,release_date,code_source,n_singles
6214,PPS7,Play! Pokémon Prize Pack Series Seven,2025-07-14,pps,119
6425,PPS8,Play! Pokémon Prize Pack Series Eight,2025-12-29,pps,119
3851,,Tag Bolt,2021-03-15,,118
6334,,CSVH2C: Happy Combo Lucario & Greninja & Zamazenta & Mabosstiff Box Set,2025-04-24,,118
6556,,Abyss Eye,2026-04-17,,118
1535,LC,Legendary Collection,0000-00-00,tcg,117
1539,RS,EX Ruby & Sapphire,0000-00-00,tcg,117
3600,,Sword & Shield Starter Decks: Grass,2020-12-02,,117
3801,,Alter Genesis,2021-03-15,,117
6427,,Nihil Zero,2025-12-22,,117
1544,RG,EX FireRed & LeafGreen,0000-00-00,tcg,116
3836,,Double Blaze,2021-03-15,,116
5216,,Scarlet ex,2022-12-09,,116
6291,,Inferno X,2025-09-01,,116
1549,DS,EX Delta Species,0000-00-00,tcg,115
1570,CL,Call of Legends,0000-00-00,tcg,115
3279,,Rebellion Crash,2020-05-28,,115
3816,,Miracle Twin,2021-03-15,,115
5849,PPS5,Play! Pokémon Prize Pack Series Five,2024-08-06,pps,115
6001,,CBB1C: Gem Pack,2025-01-03,,115
1531,N1,Neo Genesis,0000-00-00,tcg,114
1565,AR,Arceus,0000-00-00,tcg,114
5620,PPS4,Play! Pokémon Prize Pack Series Four,2024-02-02,pps,114
1534,N4,Neo Destiny,0000-00-00,tcg,113
1546,DX,EX Deoxys,0000-00-00,tcg,113
1567,UL,Unleashed,0000-00-00,tcg,113
1573,NVI,Noble Victories,0000-00-00,tcg,113
4509,,"Darkness, and to Light...",2022-01-25,,113
6636,,Storm Emeralda,2026-07-02,,113
1545,TRR,EX Team Rocket Returns,0000-00-00,tcg,112
1547,EM,EX Emerald,0000-00-00,tcg,112
1551,HP,EX Holon Phantoms,0000-00-00,tcg,112
3881,,Sky-Splitting Charisma,2021-03-17,,112
1558,GE,Great Encounters,0000-00-00,tcg,111
1569,TM,Triumphant,0000-00-00,tcg,111
2028,,,2026-01-27,,111
3866,,Super-Burst Impact,2021-03-15,,111
6454,,"WCD 2025: Riley McKay """"KSI's Gardevoir""""",2026-01-22,,111
1580,PLB,Plasma Blast,0000-00-00,tcg,110
3896,,Forbidden Light JP,2021-03-17,,110
1554,PK,EX Power Keepers,0000-00-00,tcg,109
1559,MD,Majestic Dawn,0000-00-00,tcg,109
2026,,,2026-01-27,,109
5051,PGO,Pokémon GO,2022-04-29,tcg,109
5760,SFA,Shrouded Fable,2024-05-17,tcg,109
6194,,"WCD 2023: Gabriel Fernandez """"Colorless Lugia""""",2023-12-18,,109
6616,PPS9,Play! Pokémon Prize Pack Series Nine,2026-06-10,pps,109
1543,HL,EX Hidden Legends,0000-00-00,tcg,108
4314,,,2024-04-12,,108
5217,,Violet ex,2022-12-09,,108
6203,,"WCD 2022: André Chiasson """"The Shape of Mew""""",2022-12-22,,108
1561,SF,Stormfront,0000-00-00,tcg,107
1574,NXD,Next Destinies,0000-00-00,tcg,107
1541,DR,EX Dragon,0000-00-00,tcg,106
1611,BWP,,0000-00-00,tcg,106
5711,,"Golden Sky, Silvery Ocean",2024-04-08,,106
4049,,Rising Fist,2021-03-18,,105
1552,CG,EX Crystal Guardians,0000-00-00,tcg,104
1572,EPO,Emerging Powers,0000-00-00,tcg,104
