archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;average_count_overall;total_decks_in_archetype;percentage_in_archetype;set_code;set_number;rarity;type;image_url;is_ace_spec;meta
Erika's Victreebel;Erika's Oddish;ASC 1;22;3;20;1,1;1,1;20;100,0;ASC;1;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_001_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Erika's Gloom;ASC 2;21;2;20;1,05;1,05;20;100,0;ASC;2;Uncommon;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_002_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Erika's Vileplume ex;ASC 3;20;1;20;1,0;1,0;20;100,0;ASC;3;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_003_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Shaymin;DRI 10;17;1;17;1,0;0,85;20;85,0;DRI;10;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_010_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Lillie's Determination;MEG 119;79;4;20;3,95;3,95;20;100,0;MEG;119;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_119_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Gwynn;PBL 78;70;4;18;3,89;3,5;20;90,0;PBL;78;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PBL/PBL_078_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Boss's Orders;MEG 114;39;2;20;1,95;1,95;20;100,0;MEG;114;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_114_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Lana's Aid;TWM 155;19;2;18;1,06;0,95;20;90,0;TWM;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_155_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Poké Pad;POR 81;76;4;19;4,0;3,8;20;95,0;POR;81;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_081_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Bug Catching Set;TWM 143;77;4;20;3,85;3,85;20;100,0;TWM;143;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_143_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Sacred Ash;DRI 168;37;2;19;1,95;1,85;20;95,0;DRI;168;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_168_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Secret Box;TWM 163;18;1;18;1,0;0,9;20;90,0;TWM;163;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_163_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Brave Bangle;WHT 80;38;2;19;2,0;1,9;20;95,0;WHT;80;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_080_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Forest of Vitality;MEG 117;78;4;20;3,9;3,9;20;100,0;MEG;117;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_117_R_EN_LG.png;No;Meta Live
Erika's Victreebel;Grass Energy;MEE 1;134;7;20;6,7;6,7;20;100,0;MEE;1;;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEE/MEE_001_R_EN_LG.png;No;Meta Live
