period;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;average_count_overall;total_decks_in_archetype;percentage_in_archetype;set_code;set_number;rarity;type;image_url;is_ace_spec;meta;tournament_id;tournament_date;date;total_decks_in_archetype_in_period
2026-W22;Ogerpon Box;Unfair Stamp;TWM 165;5;1;5;1,0;1,0;5;100,0;TWM;165;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_165_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Tera Orb;SSP 189;2;1;2;1,0;0,4;5;40,0;SSP;189;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_189_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Area Zero Underdepths;PRE 94;15;4;5;3,0;3,0;5;100,0;PRE;94;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_094_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Grass Energy;EVO 91;40;12;5;8,0;8,0;5;100,0;EVO;91;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_091_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Prism Energy;ASC 216;17;4;5;3,4;3,4;5;100,0;ASC;216;Uncommon;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_216_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Passimian;SSP 111;3;1;3;1,0;0,6;5;60,0;SSP;111;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_111_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Iron Leaves ex;TEF 25;2;1;2;1,0;0,4;5;40,0;TEF;25;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_025_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Moltres;PFL 14;3;1;3;1,0;0,6;5;60,0;PFL;14;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_014_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Briar;PRE 100;1;1;1;1,0;0,2;5;20,0;PRE;100;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_100_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Mega Absol ex;MEG 86;2;1;2;1,0;0,4;5;40,0;MEG;86;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_086_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Bloodmoon Ursaluna ex;TWM 141;2;1;2;1,0;0,4;5;40,0;TWM;141;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_141_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Chien-Pao;SSP 56;2;1;2;1,0;0,4;5;40,0;SSP;56;Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_056_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Crispin;PRE 105;8;4;2;4,0;1,6;5;40,0;PRE;105;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_105_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Cyrano;SSP 170;6;3;2;3,0;1,2;5;40,0;SSP;170;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_170_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Brock's Scouting;JTG 146;4;2;2;2,0;0,8;5;40,0;JTG;146;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_146_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Darkness Energy;EVO 97;6;3;2;3,0;1,2;5;40,0;EVO;97;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_097_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
