meta;archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
City Leagues;Aegislash Metagross;Steven's Metagross ex;DRI_145;4;2;2;2;100,0;DRI;;145;Double Rare;MStage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_145_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Steven's Metang;DRI_144;4;2;2;2;100,0;DRI;;144;Uncommon;MStage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_144_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Metal Energy;SVE_24;10;5;2;2;100,0;SVE;;24;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_024_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Psychic Energy;SVE_21;10;5;2;2;100,0;SVE;;21;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_021_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Buddy-Buddy Poffin;PRE_101;8;4;2;2;100,0;PRE;;101;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_101_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Energy Recycler;BST_124;2;1;2;2;100,0;BST;;124;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/BST/BST_124_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Max Rod;PRE_116;2;1;2;2;100,0;PRE;;116;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_116_R_EN_LG.png;Yes
City Leagues;Aegislash Metagross;Night Stretcher;SFA_61;2;1;2;2;100,0;SFA;;61;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_061_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Poké Pad;ASC_198;6;3;2;2;100,0;ASC;;198;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_198_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Rare Candy;MEG_125;4;2;2;2;100,0;MEG;;125;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_125_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Ultra Ball;ASC_213;4;2;2;2;100,0;ASC;;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Battle Cage;PFL_85;1;1;1;2;50,0;PFL;;85;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_085_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Boss's Orders;ASC_183;4;2;2;2;100,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Cyrano;SSP_170;2;1;2;2;100,0;SSP;;170;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_170_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Judge;SVI_176;2;1;2;2;100,0;SVI;;176;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVI/SVI_176_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Lillie's Determination;ASC_192;7;4;2;2;100,0;ASC;;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Brock's Scouting;JTG_146;2;2;1;2;50,0;JTG;;146;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_146_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Dawn;PFL_87;1;1;1;2;50,0;PFL;;87;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_087_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Lana's Aid;TWM_155;1;1;1;2;50,0;TWM;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_155_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Team Rocket's Petrel;ASC_207;3;3;1;2;50,0;ASC;;207;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_207_R_EN_LG.png;No
City Leagues;Aegislash Metagross;Air Balloon;ASC_181;1;1;1;2;50,0;ASC;;181;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Shaymin;DRI_10;2;1;2;2;100,0;DRI;;10;Uncommon;GBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_010_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Psyduck;ASC_39;2;1;2;2;100,0;ASC;;39;Common;WBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_039_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Abra;MEG_54;8;4;2;2;100,0;MEG;;54;Common;PBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_054_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Frillish;WHT_44;2;1;2;2;100,0;WHT;;44;Common;PBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_044_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Latias ex;SSP_76;2;1;2;2;100,0;SSP;;76;Double Rare;PBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Munkidori;TWM_95;1;1;1;2;50,0;TWM;;95;Rare;PBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_095_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Alakazam;MEG_56;6;3;2;2;100,0;MEG;;56;Rare;PStage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_056_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Kadabra;MEG_55;6;3;2;2;100,0;MEG;;55;Uncommon;PStage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_055_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Fezandipiti ex;ASC_142;2;1;2;2;100,0;ASC;;142;Double Rare;DBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Dreepy;TWM_128;6;3;2;2;100,0;TWM;;128;Common;NBasic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_128_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Dragapult ex;TWM_130;4;2;2;2;100,0;TWM;;130;Double Rare;NStage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_130_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Drakloak;TWM_129;6;3;2;2;100,0;TWM;;129;Common;NStage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_129_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Fire Energy;SVE_18;2;1;2;2;100,0;SVE;;18;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_018_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Psychic Energy;SVE_21;2;1;2;2;100,0;SVE;;21;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_021_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Darkness Energy;SVE_23;1;1;1;2;50,0;SVE;;23;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_023_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Buddy-Buddy Poffin;PRE_101;8;4;2;2;100,0;PRE;;101;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_101_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Night Stretcher;SFA_61;4;2;2;2;100,0;SFA;;61;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_061_R_EN_LG.png;No
City Leagues;Alakazam Dragapult;Poké Pad;ASC_198;8;4;2;2;100,0;ASC;;198;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_198_R_EN_LG.png;No
