tournament_id;name;date;meta;format;players;organizer_id;is_online;has_decklists;swiss_rounds;phases;standings_rows;pairings_rows;depth;scraped_at
6a6f9fd8cdc0391d7fa5a78e;Pumpkaweekly;2026-08-03T18:00:00.000Z;TEF-PBL;STANDARD;127;36;True;True;7;1;127;319;voll;2026-09-08T11:19:45Z
6a6b5b9052c24ac2da64fd67;🏆Moujii's Dojo🏆 (Late Registration Available!);2026-08-03T16:10:00.000Z;TEF-PBL;STANDARD;261;35;True;True;8;3;261;765;voll;2026-09-08T11:19:47Z
6a6c306552c24ac2da650b06;Rare Candy Club Showdown #35 (50 CODES);2026-08-03T00:00:00.000Z;TEF-PBL;STANDARD;158;2518;True;True;7;2;158;407;voll;2026-09-08T11:19:48Z
6a67c6de937230b102d46e9f;Turn Zero Rising! #6 (100 Codes);2026-08-02T22:00:00.000Z;TEF-PBL;STANDARD;173;1371;True;True;7;4;173;472;voll;2026-09-08T11:19:50Z
6a6e598f2b308b6067b47028;Monster Collectibles After Hours #15;2026-08-02T17:00:00.000Z;TEF-PBL;STANDARD;166;2610;True;True;7;1;166;399;voll;2026-09-08T11:19:51Z
6a6d9123cdc0391d7fa586cd;SEASAC League Challenge #6 (SEASON 4) [50 CODES];2026-08-02T11:30:00.000Z;TEF-PBL;STANDARD;119;2623;True;True;7;2;119;298;voll;2026-09-08T11:19:53Z
6a658393937230b102d45378;Vault Of Games #3 🏆|OFF-SEASON |WEEKLY;2026-08-02T01:00:00.000Z;TEF-PBL;STANDARD;105;2226;True;True;6;1;105;229;voll;2026-09-08T11:19:54Z
6a50f90665724db9ded42072;The Stache Series 0: Trial Run;2026-08-01T22:00:00.000Z;TEF-PBL;STANDARD;228;2722;True;True;8;1;228;582;voll;2026-09-08T11:20:56Z
6a6a0698937230b102d482c0;SEASAC League Cup #1 (SEASON 4) [150 CODES];2026-08-01T11:30:00.000Z;TEF-PBL;STANDARD;115;2623;True;True;7;2;115;311;voll;2026-09-08T11:22:58Z
6a5a508552c24ac2da6446cf;TOURNAMENT OF DOOM! DRAGAPULT IS....;2026-08-01T02:35:00.000Z;TEF-PBL;STANDARD;514;349;True;True;9;2;514;1301;voll;2026-09-08T11:24:12Z
6a699fa6937230b102d4811f;ASRcristiano # 178 - 60 codes prize pool!;2026-07-31T19:20:00.000Z;TEF-PBL;STANDARD;100;1778;True;True;7;3;100;241;voll;2026-09-08T11:24:13Z
6a5e305b52c24ac2da64732d;⚡ Surge's TCG Vault Winner Takes All TCG Live #17;2026-07-31T18:00:00.000Z;TEF-PBL;STANDARD;102;2603;True;True;5;2;102;191;voll;2026-09-08T11:24:15Z
6a68191b52c24ac2da64e30d;💥​Plantel Battle #29 PITCH 💥​100 CODES ✔️​ TOP 8;2026-07-30T23:00:00.000Z;TEF-PBL;STANDARD;197;1727;True;True;7;2;197;494;voll;2026-09-08T11:24:17Z
6a5e302452c24ac2da647321;⚡ Surge's TCG Vault Winner Takes All - 50 Codes;2026-07-30T19:00:00.000Z;TEF-PBL;STANDARD;105;2603;True;True;7;2;105;259;voll;2026-09-08T11:24:18Z
6a63970f52c24ac2da64aa36;🏆Moujii's Dojo🏆 (Late Registration Available!);2026-07-30T16:10:00.000Z;TEF-PBL;STANDARD;215;35;True;True;8;3;215;652;voll;2026-09-08T11:24:19Z
6a67099f52c24ac2da64d607;SEASAC League Challenge #5 (SEASON 4) [50 CODES];2026-07-30T11:30:00.000Z;TEF-PBL;STANDARD;138;2623;True;True;8;2;138;378;voll;2026-09-08T11:24:21Z
6a58f6f1cc68177ec6c56a71;REFINE Summer Series Session 5: Pika Cinco;2026-07-29T23:30:00.000Z;TEF-PBL;STANDARD;127;2568;True;True;7;1;127;291;voll;2026-09-08T11:24:22Z
6a699f7b937230b102d4811e;ASRcristiano # 177 - 60 codes prize pool!;2026-07-29T19:00:00.000Z;TEF-PBL;STANDARD;135;1778;True;True;8;3;135;375;voll;2026-09-08T11:24:24Z
6a5e2f31937230b102d401c3;⚡ Surge's TCG Vault Winner Takes All - 50 Codes;2026-07-29T17:00:00.000Z;TEF-PBL;STANDARD;116;2603;True;True;7;2;116;265;voll;2026-09-08T11:24:25Z
