set,number,url,product_id_in_url,lang
AOR,48,https://pokepricelab.com/de/catalog/ancient-origins-metang-48,,de
AOR,48,https://pokepricelab.com/es/catalog/ancient-origins-metang-48,,es
AOR,48,https://pokepricelab.com/fr/catalog/ancient-origins-metang-48,,fr
AOR,48,https://pokepricelab.com/it/catalog/ancient-origins-metang-48,,it
AOR,49,https://pokepricelab.com/catalog/ancient-origins-metagross-49,,
AOR,49,https://pokepricelab.com/de/catalog/ancient-origins-metagross-49,,de
AOR,49,https://pokepricelab.com/es/catalog/ancient-origins-metagross-49,,es
AOR,49,https://pokepricelab.com/fr/catalog/ancient-origins-metagross-49,,fr
AOR,49,https://pokepricelab.com/it/catalog/ancient-origins-metagross-49,,it
AOR,5,https://pokepricelab.com/catalog/ancient-origins-spinarak-5-eu-284186,284186,
AOR,5,https://pokepricelab.com/de/catalog/ancient-origins-spinarak-5-eu-284186,284186,de
AOR,5,https://pokepricelab.com/es/catalog/ancient-origins-spinarak-5-eu-284186,284186,es
AOR,5,https://pokepricelab.com/fr/catalog/ancient-origins-spinarak-5-eu-284186,284186,fr
AOR,5,https://pokepricelab.com/it/catalog/ancient-origins-spinarak-5-eu-284186,284186,it
AOR,50,https://pokepricelab.com/catalog/ancient-origins-metagross-50,,
AOR,50,https://pokepricelab.com/de/catalog/ancient-origins-metagross-50,,de
AOR,50,https://pokepricelab.com/es/catalog/ancient-origins-metagross-50,,es
AOR,50,https://pokepricelab.com/fr/catalog/ancient-origins-metagross-50,,fr
AOR,50,https://pokepricelab.com/it/catalog/ancient-origins-metagross-50,,it
AOR,51,https://pokepricelab.com/catalog/ancient-origins-registeel-51,,
AOR,51,https://pokepricelab.com/de/catalog/ancient-origins-registeel-51,,de
AOR,51,https://pokepricelab.com/es/catalog/ancient-origins-registeel-51,,es
AOR,51,https://pokepricelab.com/fr/catalog/ancient-origins-registeel-51,,fr
AOR,51,https://pokepricelab.com/it/catalog/ancient-origins-registeel-51,,it
AOR,52,https://pokepricelab.com/catalog/ancient-origins-ralts-52,,
AOR,52,https://pokepricelab.com/de/catalog/ancient-origins-ralts-52,,de
AOR,52,https://pokepricelab.com/es/catalog/ancient-origins-ralts-52,,es
AOR,52,https://pokepricelab.com/fr/catalog/ancient-origins-ralts-52,,fr
AOR,52,https://pokepricelab.com/it/catalog/ancient-origins-ralts-52,,it
AOR,53,https://pokepricelab.com/catalog/ancient-origins-kirlia-53,,
AOR,53,https://pokepricelab.com/de/catalog/ancient-origins-kirlia-53,,de
AOR,53,https://pokepricelab.com/es/catalog/ancient-origins-kirlia-53,,es
AOR,53,https://pokepricelab.com/fr/catalog/ancient-origins-kirlia-53,,fr
AOR,53,https://pokepricelab.com/it/catalog/ancient-origins-kirlia-53,,it
AOR,54,https://pokepricelab.com/catalog/ancient-origins-gardevoir-54,,
AOR,54,https://pokepricelab.com/de/catalog/ancient-origins-gardevoir-54,,de
AOR,54,https://pokepricelab.com/es/catalog/ancient-origins-gardevoir-54,,es
AOR,54,https://pokepricelab.com/fr/catalog/ancient-origins-gardevoir-54,,fr
AOR,54,https://pokepricelab.com/it/catalog/ancient-origins-gardevoir-54,,it
AOR,55,https://pokepricelab.com/catalog/ancient-origins-cottonee-55,,
AOR,55,https://pokepricelab.com/de/catalog/ancient-origins-cottonee-55,,de
AOR,55,https://pokepricelab.com/es/catalog/ancient-origins-cottonee-55,,es
AOR,55,https://pokepricelab.com/fr/catalog/ancient-origins-cottonee-55,,fr
AOR,55,https://pokepricelab.com/it/catalog/ancient-origins-cottonee-55,,it
AOR,56,https://pokepricelab.com/catalog/ancient-origins-whimsicott-56,,
AOR,56,https://pokepricelab.com/de/catalog/ancient-origins-whimsicott-56,,de
AOR,56,https://pokepricelab.com/es/catalog/ancient-origins-whimsicott-56,,es
AOR,56,https://pokepricelab.com/fr/catalog/ancient-origins-whimsicott-56,,fr
AOR,56,https://pokepricelab.com/it/catalog/ancient-origins-whimsicott-56,,it
AOR,57,https://pokepricelab.com/catalog/ancient-origins-giratina-ex-57-eu-284238,284238,
AOR,57,https://pokepricelab.com/de/catalog/ancient-origins-giratina-ex-57-eu-284238,284238,de
AOR,57,https://pokepricelab.com/es/catalog/ancient-origins-giratina-ex-57-eu-284238,284238,es
AOR,57,https://pokepricelab.com/fr/catalog/ancient-origins-giratina-ex-57-eu-284238,284238,fr
AOR,57,https://pokepricelab.com/it/catalog/ancient-origins-giratina-ex-57-eu-284238,284238,it
AOR,58,https://pokepricelab.com/catalog/ancient-origins-goomy-58,,
