tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec,
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Xerosic's Machinations;SFA 64;2;1;2;1,"['0;21;9', '52;SFA;;64;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_064_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Hoothoot;SCR 114;5;3;2;2,"['5;21;9', '52;SCR;;114;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_114_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Noctowl;SCR 115;5;3;2;2,"['5;21;9', '52;SCR;;115;Rare;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_115_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Fan Rotom;SCR 118;4;2;2;2,"['0;21;9', '52;SCR;;118;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SCR/SCR_118_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Briar;PRE 100;2;1;2;1,"['0;21;9', '52;PRE;;100;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_100_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Poké Pad;POR 81;4;3;2;2,"['0;21;9', '52;POR;;81;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_081_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Prime Catcher;PRE 119;3;1;3;1,"['0;21;14', '29;PRE;;119;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_119_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Tera Orb;SSP 189;2;1;2;1,"['0;21;9', '52;SSP;;189;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_189_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Koraidon;SSP 116;1;1;1;1,"['0;21;4', '76;SSP;;116;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_116_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Energy Retrieval;WHT 82;4;1;4;1,"['0;21;19', '05;WHT;;82;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_082_R_EN_LG.png;No']"
