deck_name;status;trend;old_rank;new_rank;rank_change;old_count;new_count;count_change;old_share;new_share;share_change;old_winrate;new_winrate;winrate_change
Mega Latias;BESTEHEND;ABSTEIGEND;61;74;-13;39;47;8;0,13;0,11;-0,02;36,91;35,35;-1,56
Tsareena;BESTEHEND;AUFSTEIGEND;93;75;18;13;46;33;0,04;0,1;0,06;33,33;32,63;-0,7
Ancient Box;BESTEHEND;AUFSTEIGEND;102;76;26;10;45;35;0,03;0,1;0,07;37,14;52,0;14,86
Blissey;BESTEHEND;ABSTEIGEND;64;77;-13;37;42;5;0,13;0,09;-0,04;42,58;43,14;0,56
Mega Camerupt;BESTEHEND;ABSTEIGEND;43;78;-35;122;42;-80;0,42;0,09;-0,33;34,84;34,9;0,06
Poison Latias;BESTEHEND;ABSTEIGEND;41;80;-39;138;39;-99;0,48;0,09;-0,39;42,17;41,4;-0,77
Blaziken;BESTEHEND;ABSTEIGEND;74;81;-7;21;39;18;0,07;0,09;0,02;42,0;36,05;-5,95
Flareon;BESTEHEND;ABSTEIGEND;53;82;-29;59;39;-20;0,2;0,09;-0,11;32,27;32,88;0,61
Raging Bolt Bellibolt;BESTEHEND;AUFSTEIGEND;105;83;22;9;36;27;0,03;0,08;0,05;32,56;40,35;7,79
Iono's Bellibolt;BESTEHEND;AUFSTEIGEND;92;84;8;13;34;21;0,04;0,08;0,04;44,78;48,3;3,52
Mamoswine;BESTEHEND;ABSTEIGEND;52;85;-33;59;33;-26;0,2;0,07;-0,13;35,42;40,63;5,21
Iron Thorns;BESTEHEND;ABSTEIGEND;82;86;-4;17;32;15;0,06;0,07;0,01;38,0;44,66;6,66
Rocket's Porygon-Z;BESTEHEND;ABSTEIGEND;69;87;-18;31;32;1;0,11;0,07;-0,04;43,75;30,56;-13,19
Ethan's Magcargo;BESTEHEND;ABSTEIGEND;71;88;-17;23;29;6;0,08;0,06;-0,02;57,63;50,0;-7,63
United Wings;BESTEHEND;ABSTEIGEND;81;89;-8;17;27;10;0,06;0,06;0,0;40,91;39,45;-1,46
Gholdengo Typhlosion;NEU;AUFSTEIGEND;-;90;0;0;25;25;0;0,06;0,06;0;49,5;49,5
Mega Manectric;BESTEHEND;ABSTEIGEND;62;91;-29;39;24;-15;0,13;0,05;-0,08;35,33;30,12;-5,21
Tinkaton;BESTEHEND;AUFSTEIGEND;115;92;23;7;23;16;0,02;0,05;0,03;30,0;44,34;14,34
Toedscruel;BESTEHEND;ABSTEIGEND;79;93;-14;18;22;4;0,06;0,05;-0,01;45,57;44,21;-1,36
Heatran Metang;BESTEHEND;AUFSTEIGEND;110;94;16;8;21;13;0,03;0,05;0,02;30,0;47,13;17,13
Lopunny Dudunsparce;NEU;AUFSTEIGEND;-;95;0;0;21;21;0;0,05;0,05;0;41,3;41,3
